date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:17	15324/15324	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Aug%202025%2003:31:17%20GMT	https://www.greenfacility.in/robots.txt		(from )
09:01:18	47621/47621	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2003:31:18%20GMT	https://www.greenfacility.in/	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/www.greenfacility.in/index.html	(from )
09:01:20	37136/37136	---M-Z	200	added ('OK')	text/css	etag:%22ca8c7469790dc1:0%22	https://www.greenfacility.in/CSS/site.css	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/www.greenfacility.in/CSS/site.css	(from https://www.greenfacility.in/)
09:01:22	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%22ca8c7469790dc1:0%22	https://www.greenfacility.in/CSS/responsive.css	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/www.greenfacility.in/CSS/responsive.css	(from https://www.greenfacility.in/)
09:01:23	2500/2500	---M--	200	added ('OK')	image/png	etag:%22a142dd6a790dc1:0%22	https://www.greenfacility.in/images/favicon-32x32.png	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/www.greenfacility.in/images/favicon-32x32.png	(from https://www.greenfacility.in/)
09:01:24	14875/14875	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2023%20Aug%202025%2003:31:26%20GMT	https://kit.fontawesome.com/ddcccabf5d.js	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/kit.fontawesome.com/ddcccabf5d.js	(from https://www.greenfacility.in/)
09:01:24	142361/142361	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222c19-Lb7o6RbJf9zqsolGKfoiQM/wVzs%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox.umd.js	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox.umd.js	(from https://www.greenfacility.in/)
09:01:25	25343/25343	---MCZ	200	added ('OK')	text/css	etag:W/%2262ff-giaeOPBfIiHawF4nBpcYwhHxYEE%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox.css	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox.css	(from https://www.greenfacility.in/)
09:01:25	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/code.jquery.com/jquery-3.7.1.min.js	(from https://www.greenfacility.in/)
09:01:26	471/471	---M-Z	200	added ('OK')	application/javascript	etag:%226632988b-14a%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/7.4.0/esm/ionicons.min.js	C:/Users/Abhiram%20Bharadwaj/Pictures/Greenfacility.in/cdnjs.cloudflare.com/ajax/libs/ionicons/7.4.0/esm/ionicons.min.js	(from https://www.greenfacility.in/)
